,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
0,1763714245.466936,123.746,116.755,117.932,115.418,123.353,119.406,118.916,118.793
1,1763721495.4681993,122.192,116.134,117.879,114.32,122.656,119.376,118.587,118.016
2,1763726435.4670348,122.331,116.737,117.902,115.024,122.74,119.431,118.161,118.767
3,1763727055.4666936,123.598,117.224,119.513,115.778,123.614,121.642,119.856,118.745
4,1763727525.467075,125.082,116.669,118.677,116.512,123.969,121.317,118.658,119.174
5,1763727995.4685097,123.299,116.768,119.824,116.092,123.233,119.652,118.904,118.552
6,1763729235.4667444,122.266,115.926,117.599,114.737,122.472,119.075,117.81,117.915
7,1763734445.46645,121.877,115.953,118.739,114.096,121.736,119.687,117.743,117.841
8,1763739455.466766,122.828,117.294,118.525,115.914,122.981,120.89,118.538,118.36
9,1763744345.4670305,125.228,117.221,119.529,117.127,124.027,121.321,119.138,118.658
10,1763744375.4671748,124.358,116.58,118.558,116.461,123.575,119.923,118.517,118.318
11,1763752175.466336,698.933,368.848,691.594,671.952,678.454,424.11,548.376,552.811
12,1763756785.4664507,121.925,116.159,118.07,116.24,123.516,119.627,118.344,118.173
13,1763759535.4670107,123.553,116.465,118.286,115.119,122.929,120.537,118.453,119.031
14,1763765585.466512,123.291,116.262,118.059,114.897,122.728,119.516,118.266,118.203
15,1763781015.4666617,122.187,116.729,117.834,116.089,123.358,119.957,118.054,118.825
16,1763781695.466521,121.387,115.751,117.434,114.555,121.633,118.928,117.694,117.727
17,1763783885.4663918,122.452,116.763,117.944,115.095,122.849,120.809,118.867,118.939
18,1763783985.4668343,122.288,116.685,117.855,114.91,122.711,120.218,118.783,118.699
19,1763785185.4671488,174.506,166.287,170.982,155.144,164.319,173.397,168.312,159.13
20,1763792975.4663763,123.967,116.182,119.075,114.864,122.616,119.312,118.722,118.186
21,1763793735.4672902,122.993,116.776,117.905,115.312,122.585,119.291,118.015,118.075
22,1763798545.4667952,125.717,118.348,119.503,116.265,123.753,120.404,121.436,119.216
23,1763801505.467522,122.394,116.668,117.758,114.841,123.319,119.331,118.015,118.066
24,1763805305.467325,121.964,116.863,117.984,114.953,123.329,120.04,118.207,118.245
25,1763806845.4669101,121.981,116.661,117.578,113.968,122.24,119.68,117.697,117.675
26,1763812145.4670517,123.967,116.907,118.141,116.286,123.548,119.608,118.906,118.866
27,1763813145.4665878,122.181,116.014,119.115,114.815,122.625,119.832,118.056,118.045
28,1763814775.4669943,122.81,117.121,118.398,115.094,123.02,120.014,119.33,119.195
29,1763815895.4670568,122.822,116.49,117.739,115.028,122.998,120.361,118.496,118.985
30,1763819555.467342,121.704,116.608,117.759,114.489,122.566,119.865,118.589,118.633
31,1763821315.4668777,654.957,339.099,636.587,694.165,587.044,569.289,422.956,169.485
32,1763831175.4663522,123.804,116.897,119.179,115.65,122.749,120.145,118.765,118.874
33,1763836625.46716,121.379,115.857,118.868,115.261,122.946,119.904,117.845,117.86
34,1763836905.4666157,497.691,621.862,614.735,597.931,650.467,663.813,702.423,495.387
35,1763839585.4663856,122.414,116.172,117.981,115.607,123.392,120.034,118.118,118.141
36,1763841755.4667299,122.703,116.372,117.459,115.803,122.262,119.497,117.72,117.741
37,1763851515.466775,122.457,116.103,119.069,114.847,122.591,119.272,118.021,118.095
38,1763853015.4670672,688.129,567.673,588.585,574.063,579.897,696.938,528.104,576.612
39,1763858345.4667764,123.166,116.175,117.91,115.481,123.256,119.374,118.178,118.781
40,1763858355.4669209,123.149,116.176,117.906,115.382,123.206,119.38,118.154,118.716
41,1763863675.4673617,121.809,116.547,117.496,113.967,123.066,119.555,117.787,117.864
42,1763865375.467067,121.578,115.844,117.59,114.731,122.495,119.687,117.867,118.708
43,1763867085.4671664,122.622,116.176,117.924,115.485,122.722,119.364,118.207,118.232
44,1763878165.466413,121.595,116.023,117.742,115.272,123.235,119.156,117.951,118.563
45,1763878985.4673562,123.933,115.997,117.765,115.538,122.586,119.263,118.661,118.049
46,1763883875.4673727,122.876,115.97,118.928,114.745,122.478,119.199,117.968,117.931
47,1763886285.4672694,123.579,115.94,118.814,114.662,123.016,119.109,119.2,117.975
48,1763886725.4667413,123.742,116.65,119.175,114.985,123.301,119.404,118.125,118.091
49,1763887085.467256,123.39,116.423,118.695,114.692,123.135,119.046,117.797,117.772
50,1763888045.4672952,123.014,116.163,117.895,114.783,122.565,119.349,118.108,118.056
51,1763888685.4672086,122.053,116.653,119.058,114.867,122.57,119.911,119.535,118.031
52,1763889205.4667513,121.493,115.996,117.914,115.401,122.99,119.332,117.902,117.809
53,1763896775.4667673,121.691,115.634,117.307,114.52,122.202,119.667,117.665,117.681
54,1763897265.4665098,121.995,115.867,117.586,114.791,122.559,119.999,117.984,117.991
55,1763899475.4669468,121.93,115.881,117.616,114.681,122.398,119.903,117.926,117.812
56,1763904555.467047,122.033,115.899,117.656,114.678,122.487,119.916,118.003,117.925
57,1763905685.4672692,122.119,116.028,117.223,114.678,122.518,119.97,118.015,117.979
58,1763907485.4669418,121.994,115.75,117.482,114.705,122.32,119.819,117.858,117.923
59,1763908865.4664006,122.009,115.905,117.639,114.737,122.494,119.904,117.925,117.996
60,1763909065.467036,121.981,115.934,117.681,114.665,122.467,119.931,117.971,117.931
61,1763910465.4666543,121.954,115.798,117.544,114.618,122.402,119.897,117.892,117.879
62,1763914695.4671133,122.237,116.013,117.839,114.798,122.602,120.098,118.122,117.992
63,1763914955.4673605,122.102,115.871,117.67,114.778,122.62,120.081,118.017,118.013
64,1763918115.466617,121.966,115.859,117.567,114.679,122.382,119.931,117.905,117.882
65,1763922935.467102,122.16,115.965,117.737,114.664,122.496,120.051,118.017,118.056
66,1763924375.4668572,122.104,116.012,117.749,114.844,122.561,120.093,118.035,117.983
67,1763926215.4666128,121.914,115.998,117.602,114.646,122.43,119.957,117.932,117.957
68,1763931055.4673233,121.973,115.84,117.598,114.614,122.406,119.955,117.912,117.86
69,1763940175.46669,122.133,115.976,117.812,114.871,122.659,120.132,118.146,118.064
70,1763944205.4666748,121.989,115.861,117.671,114.817,122.483,119.977,117.938,117.95
71,1763945675.4671288,121.583,115.677,117.218,114.358,122.093,119.595,117.557,117.577
72,1763951170.8831472,117.001,118.554,116.881,120.867,118.02,121.686,120.781,124.167
73,1763951700.8834991,115.707,116.936,114.115,120.195,115.373,118.205,117.703,120.549
74,1763955400.8849514,656.968,622.011,594.054,548.598,665.452,681.467,684.059,574.725
75,1763956240.8827531,117.508,117.183,115.692,120.307,117.231,121.853,118.48,123.259
76,1763963140.8837483,142.133,125.342,121.929,125.022,121.439,128.43,130.216,141.544
77,1763968680.8833678,116.666,117.531,116.334,119.758,116.87,122.15,120.095,122.271
78,1763971600.8825247,116.563,117.101,114.487,120.301,116.619,120.519,119.592,122.591
79,1763971770.882497,116.49,116.587,114.38,120.152,116.538,120.195,119.988,122.376
80,1763974040.8824658,116.707,118.042,114.674,120.473,116.821,120.689,120.576,122.303
81,1763978000.8829002,116.314,116.478,115.309,119.842,116.694,120.921,120.437,123.403
82,1763980030.8828797,116.27,117.167,115.304,119.162,116.21,119.142,119.064,123.275
83,1763980600.8828175,116.433,116.86,114.133,119.258,116.144,119.129,119.784,121.541
84,1763985680.8825011,115.87,116.758,115.382,119.257,116.498,119.347,118.304,120.338
85,1763986690.8825862,115.775,116.516,113.968,120.192,115.992,119.821,118.786,119.281
86,1763987260.882528,531.369,669.965,701.134,645.429,389.417,466.988,521.751,538.355
87,1763991440.882463,116.435,116.878,115.525,119.899,115.562,119.163,118.196,121.958
88,1763996780.882574,116.739,117.482,115.376,119.429,116.952,120.008,119.911,122.424
89,1764000070.8825698,116.824,117.013,115.227,119.787,116.391,119.168,118.904,121.654
90,1764001710.8825362,115.543,116.98,113.74,119.477,115.167,118.306,117.98,121.413
91,1764002580.8827538,116.164,117.487,115.084,120.017,117.132,121.55,120.339,122.628
92,1764007010.8824742,116.405,117.121,115.595,119.25,116.466,119.562,120.481,121.913
93,1764008670.8827336,116.437,117.921,114.374,119.34,116.356,119.87,118.523,120.625
94,1764012850.8825705,116.639,117.636,116.29,119.688,116.592,120.815,119.874,123.25
95,1764016050.8829057,115.448,117.255,113.823,119.964,115.376,118.493,119.755,121.325
96,1764019260.8834937,116.24,117.266,114.05,119.068,116.281,119.195,119.607,123.017
97,1764022430.8824956,115.169,117.286,115.221,120.24,116.606,119.369,119.573,121.824
98,1764023860.8825521,115.875,117.531,115.445,120.008,115.987,119.719,119.31,122.036
99,1764027980.8824973,116.463,116.907,115.752,120.607,116.713,120.126,119.435,121.002
100,1764029150.8824763,116.279,116.475,115.072,119.633,115.436,120.041,118.689,119.456
101,1764029840.8828075,115.802,116.886,114.241,120.532,116.77,119.879,118.906,121.918
102,1764036530.8835092,115.729,116.922,114.196,119.261,116.239,120.208,119.545,121.811
103,1764036830.8831313,115.61,116.289,113.858,118.819,115.153,118.381,116.844,119.209
104,1764042900.882576,117.021,118.166,114.77,120.306,116.618,120.856,119.645,121.925
